date,close
2015-10-02,21.26576
2015-10-05,22.11263
2015-10-06,22.47019
2015-10-07,22.82776
2015-10-08,23.52407
2015-10-09,24.08865
2015-10-12,23.86282
2015-10-13,23.34529
2015-10-14,23.22296
2015-10-15,23.63699
2015-10-16,23.52407
2015-10-19,23.25119
2015-10-20,22.5737
2015-10-21,22.79953
2015-10-22,22.67721
2015-10-23,23.13828
2015-10-26,23.11946
2015-10-27,22.90304
2015-10-28,22.3761
2015-10-29,22.0844
2015-10-30,21.66097
2015-11-02,21.45395
2015-11-03,21.66097
2015-11-04,22.0844
2015-11-05,21.90562
2015-11-06,21.35986
2015-11-09,20.15542
2015-11-10,20.29657
2015-11-11,19.71317
2015-11-12,19.39324
2015-11-13,19.03568
2015-11-16,18.91335
2015-11-17,19.16741
2015-11-18,18.64047
2015-11-19,19.21446
2015-11-20,19.28974
2015-11-23,18.88512
2015-11-24,18.54638
2015-11-25,18.50874
2015-11-26,17.82184
2015-11-27,17.66187
2015-11-30,17.02202
2015-12-01,17.64305
2015-12-02,17.64305
2015-12-03,17.11611
2015-12-04,16.87146
2015-12-07,16.92792
2015-12-08,16.04342
2015-12-09,16.14692
2015-12-10,16.44803
2015-12-11,16.18456
2015-12-14,15.61998
2015-12-15,15.30947
2015-12-16,16.16574
2015-12-17,16.01519
2015-12-18,15.87404
2015-12-21,16.11869
2015-12-22,15.8364
2015-12-23,16.38216
2015-12-24,17.25726
2015-12-25,17.25726
2015-12-28,17.25726
2015-12-29,17.04084
2015-12-30,17.02202
2015-12-31,16.8056